2008-01-21,MQ,GRB,ORD,1830,330.00,1.00,12,1800-1859,8.00,0008,0049,6.00,1935,0055,320.00,1.00,12,1900-1959,0.00,0.00,65.00,55.00,41.00,1.00,174.00,1,0.00,0.00,219.00,0.00,101.00,DD,407055,2400,1127,451,1343,12,12,2008-01-21,12,12,1,DD,0.00,0.00,219.00,0.00,101.00,21,15,15,14,15,1,7,49,8,1830,1935,55,2400,0,0,219,0,101,49,8,1830
2008-01-24,F9,DEN,BDL,2355,5.00,0.00,0,2300-2359,23.00,0023,0532,11.00,0532,0543,11.00,0.00,0,0001-0559,0.00,0.00,217.00,223.00,189.00,1.00,1671.00,7,,,,,,DD,454818,2400,2719,1701,891,0,0,2008-01-24,0,0,7,DD,,,,,,24,3,3,19,1,7,7,532,23,2355,532,543,2400,,,,,,532,23,2355
2008-01-24,US,LAS,SAN,2359,1.00,0.00,0,2300-2359,39.00,0039,0124,4.00,0117,0128,11.00,0.00,0,0001-0559,0.00,0.00,78.00,88.00,45.00,1.00,258.00,2,,,,,,DD,456154,2400,5840,4310,5986,0,0,2008-01-24,0,0,2,DD,,,,,,24,3,3,19,1,2,7,124,39,2359,117,128,2400,,,,,,124,39,2359
2008-01-25,US,LAS,MCO,2351,9.00,0.00,0,2300-2359,26.00,0026,0656,4.00,0714,0700,-14.00,0.00,-1,0700-0759,0.00,0.00,263.00,240.00,210.00,1.00,2039.00,9,,,,,,DD,489193,2400,5840,4310,5055,-1,0,2008-01-25,0,-1,9,DD,,,,,,25,3,2,19,3,9,7,656,26,2351,714,700,2400,,,,,,656,26,2351
2008-01-26,FL,PHX,ATL,2359,1.00,0.00,0,2300-2359,9.00,0009,0453,7.00,0529,0500,-29.00,0.00,-2,0001-0559,0.00,0.00,210.00,180.00,164.00,1.00,1587.00,7,,,,,,OT,505501,2400,981,5288,2658,-2,0,2008-01-26,0,-2,7,OT,,,,,,26,3,1,19,1,7,6,453,9,2359,529,500,2400,,,,,,453,9,2359
2008-01-27,US,LAS,PHX,2359,1.00,0.00,0,2300-2359,25.00,0025,0213,6.00,0219,0219,0.00,0.00,0,0001-0559,0.00,0.00,80.00,79.00,48.00,1.00,256.00,2,,,,,,OT,508176,2400,5840,4310,5288,0,0,2008-01-27,0,0,2,OT,,,,,,27,3,3,19,1,2,6,213,25,2359,219,219,2400,,,,,,213,25,2359
2008-01-27,XE,LAX,PDX,2015,225.00,1.00,12,2000-2059,63.00,0103,0303,7.00,2249,0310,261.00,1.00,12,2200-2259,0.00,0.00,154.00,190.00,120.00,1.00,834.00,4,225.00,0.00,36.00,0.00,0.00,DD,514141,2400,2516,3978,5432,12,12,2008-01-27,12,12,4,DD,225.00,0.00,36.00,0.00,0.00,27,15,15,16,18,4,7,303,103,2015,2249,310,2400,225,0,36,0,0,303,103,2015
2008-01-27,B6,SEA,JFK,2359,1.00,0.00,0,2300-2359,16.00,0016,0747,3.00,0800,0750,-10.00,0.00,-1,0800-0859,0.00,0.00,301.00,290.00,271.00,1.00,2421.00,10,,,,,,OT,517074,2400,3343,6151,3102,-1,0,2008-01-27,0,-1,10,OT,,,,,,27,3,2,19,4,10,6,747,16,2359,800,750,2400,,,,,,747,16,2359
2008-01-28,YV,ORD,CLT,2055,185.00,1.00,12,2000-2059,18.00,0018,0234,4.00,2340,0238,178.00,1.00,11,2300-2359,0.00,0.00,105.00,98.00,76.00,1.00,599.00,3,178.00,0.00,0.00,0.00,0.00,DD,528207,2400,3836,1343,1289,11,12,2008-01-28,12,11,3,DD,178.00,0.00,0.00,0.00,0.00,28,15,14,16,19,3,7,234,18,2055,2340,238,2400,178,0,0,0,0,234,18,2055
2008-01-28,B6,TUS,JFK,2359,1.00,0.00,0,2300-2359,11.00,0011,0551,4.00,0619,0555,-24.00,0.00,-2,0600-0659,0.00,0.00,260.00,235.00,220.00,1.00,2136.00,9,,,,,,OT,535177,2400,3343,7020,3102,-2,0,2008-01-28,0,-2,9,OT,,,,,,28,3,1,19,2,9,6,551,11,2359,619,555,2400,,,,,,551,11,2359
2008-01-28,DL,LAX,ATL,2350,10.00,0.00,0,2300-2359,14.00,0014,0633,7.00,0657,0640,-17.00,0.00,-2,0600-0659,0.00,0.00,247.00,220.00,199.00,1.00,1946.00,8,,,,,,DD,545064,2400,2182,3978,2658,-2,0,2008-01-28,0,-2,8,DD,,,,,,28,3,1,19,2,8,7,633,14,2350,657,640,2400,,,,,,633,14,2350
2008-01-31,US,PHX,DTW,2315,45.00,1.00,3,2300-2359,16.00,0016,0547,7.00,0502,0554,52.00,1.00,3,0001-0559,0.00,0.00,227.00,234.00,211.00,1.00,1671.00,7,45.00,0.00,7.00,0.00,0.00,DD,593083,2400,5840,5288,1716,3,3,2008-01-31,3,3,7,DD,45.00,0.00,7.00,0.00,0.00,31,6,6,19,1,7,7,547,16,2315,502,554,2400,45,0,7,0,0,547,16,2315
2008-01-31,UA,LAS,IAD,2335,25.00,1.00,1,2300-2359,24.00,0024,0728,13.00,0655,0741,46.00,1.00,3,0600-0659,0.00,0.00,260.00,281.00,244.00,1.00,2066.00,9,8.00,0.00,21.00,0.00,17.00,DD,605712,2400,5798,4310,7364,3,1,2008-01-31,1,3,9,DD,8.00,0.00,21.00,0.00,17.00,31,4,6,19,2,9,7,728,24,2335,655,741,2400,8,0,21,0,17,728,24,2335
